market,claim_verifiability,env_self_identity,moral_licensing_effect,present_bias,discount_factor,baseline_resistance,specificity_threshold,credit_to_income
United States,0.30,0.45,0.90,1.00,0.85,1.00,0.50,0.08
India,0.20,0.35,1.10,1.10,0.80,1.10,0.50,0.30
